GallonsPer100Miles,GallonsPer100MilesTo1981,MPG,Cylinders,Displacement100ci,Displacement,Horsepower100,Horsepower,Weight1000lb,Weight,Seconds0to60,Year,Year70To81,Origin,Origin.Eq.1,Origin.Eq.2,Origin.Eq.3,Name
4.2,4.2,24,4,1.13,113,0.95,95,2.278,2278,15.5,72,1,3,0,0,1,toyota corona hardtop
4,4,25,4,0.975,97.5,0.8,80,2.126,2126,17,72,1,1,1,0,0,dodge colt hardtop
4.3,4.3,23,4,0.97,97,0.54,54,2.254,2254,23.5,72,1,2,0,1,0,volkswagen type 3
5,5,20,4,1.4,140,0.9,90,2.408,2408,19.5,72,1,1,1,0,0,chevrolet vega
4.8,4.8,21,4,1.22,122,0.86,86,2.226,2226,16.5,72,1,1,1,0,0,ford pinto runabout
7.7,7.7,13,8,3.5,350,1.65,165,4.274,4274,12,72,1,1,1,0,0,chevrolet impala
7.1,7.1,14,8,4,400,1.75,175,4.385,4385,12,72,1,1,1,0,0,pontiac catalina
6.7,6.7,15,8,3.18,318,1.5,150,4.135,4135,13.5,72,1,1,1,0,0,plymouth fury iii
7.1,7.1,14,8,3.51,351,1.53,153,4.129,4129,13,72,1,1,1,0,0,ford galaxie 500
5.9,5.9,17,8,3.04,304,1.5,150,3.672,3672,11.5,72,1,1,1,0,0,amc ambassador sst
9.1,9.1,11,8,4.29,429,2.08,208,4.633,4633,11,72,1,1,1,0,0,mercury marquis
7.7,7.7,13,8,3.5,350,1.55,155,4.502,4502,13.5,72,1,1,1,0,0,buick lesabre custom
8.3,8.3,12,8,3.5,350,1.6,160,4.456,4456,13.5,72,1,1,1,0,0,oldsmobile delta 88 royale
7.7,7.7,13,8,4,400,1.9,190,4.422,4422,12.5,72,1,1,1,0,0,chrysler newport royal
5.3,5.3,19,3,0.7,70,0.97,97,2.33,2330,13.5,72,1,3,0,0,1,mazda rx2 coupe
6.7,6.7,15,8,3.04,304,1.5,150,3.892,3892,12.5,72,1,1,1,0,0,amc matador (sw)
7.7,7.7,13,8,3.07,307,1.3,130,4.098,4098,14,72,1,1,1,0,0,chevrolet chevelle concours (sw)
7.7,7.7,13,8,3.02,302,1.4,140,4.294,4294,16,72,1,1,1,0,0,ford gran torino (sw)
7.1,7.1,14,8,3.18,318,1.5,150,4.077,4077,14,72,1,1,1,0,0,plymouth satellite custom (sw)
5.6,5.6,18,4,1.21,121,1.12,112,2.933,2933,14.5,72,1,2,0,1,0,volvo 145e (sw)
4.5,4.5,22,4,1.21,121,0.76,76,2.511,2511,18,72,1,2,0,1,0,volkswagen 411 (sw)
4.8,4.8,21,4,1.2,120,0.87,87,2.979,2979,19.5,72,1,2,0,1,0,peugeot 504 (sw)
3.8,3.8,26,4,0.96,96,0.69,69,2.189,2189,18,72,1,2,0,1,0,renault 12 (sw)
4.5,4.5,22,4,1.22,122,0.86,86,2.395,2395,16,72,1,1,1,0,0,ford pinto (sw)
3.6,3.6,28,4,0.97,97,0.92,92,2.288,2288,17,72,1,3,0,0,1,datsun 510 (sw)
4.3,4.3,23,4,1.2,120,0.97,97,2.506,2506,14.5,72,1,3,0,0,1,toyouta corona mark ii (sw)
3.6,3.6,28,4,0.98,98,0.8,80,2.164,2164,15,72,1,1,1,0,0,dodge colt (sw)
3.7,3.7,27,4,0.97,97,0.88,88,2.1,2100,16.5,72,1,3,0,0,1,toyota corolla 1600 (sw)
7.7,7.7,13,8,3.5,350,1.75,175,4.1,4100,13,73,1,1,1,0,0,buick century 350
7.1,7.1,14,8,3.04,304,1.5,150,3.672,3672,11.5,73,1,1,1,0,0,amc matador
7.7,7.7,13,8,3.5,350,1.45,145,3.988,3988,13,73,1,1,1,0,0,chevrolet malibu
7.1,7.1,14,8,3.02,302,1.37,137,4.042,4042,14.5,73,1,1,1,0,0,ford gran torino
6.7,6.7,15,8,3.18,318,1.5,150,3.777,3777,12.5,73,1,1,1,0,0,dodge coronet custom
8.3,8.3,12,8,4.29,429,1.98,198,4.952,4952,11.5,73,1,1,1,0,0,mercury marquis brougham
7.7,7.7,13,8,4,400,1.5,150,4.464,4464,12,73,1,1,1,0,0,chevrolet caprice classic
7.7,7.7,13,8,3.51,351,1.58,158,4.363,4363,13,73,1,1,1,0,0,ford ltd
7.1,7.1,14,8,3.18,318,1.5,150,4.237,4237,14.5,73,1,1,1,0,0,plymouth fury gran sedan
7.7,7.7,13,8,4.4,440,2.15,215,4.735,4735,11,73,1,1,1,0,0,chrysler new yorker brougham
8.3,8.3,12,8,4.55,455,2.25,225,4.951,4951,11,73,1,1,1,0,0,buick electra 225 custom
7.7,7.7,13,8,3.6,360,1.75,175,3.821,3821,11,73,1,1,1,0,0,amc ambassador brougham
5.6,5.6,18,6,2.25,225,1.05,105,3.121,3121,16.5,73,1,1,1,0,0,plymouth valiant
6.3,6.3,16,6,2.5,250,1,100,3.278,3278,18,73,1,1,1,0,0,chevrolet nova custom
5.6,5.6,18,6,2.32,232,1,100,2.945,2945,16,73,1,1,1,0,0,amc hornet
5.6,5.6,18,6,2.5,250,0.88,88,3.021,3021,16.5,73,1,1,1,0,0,ford maverick
4.3,4.3,23,6,1.98,198,0.95,95,2.904,2904,16,73,1,1,1,0,0,plymouth duster
3.8,3.8,26,4,0.97,97,0.46,46,1.95,1950,21,73,1,2,0,1,0,volkswagen super beetle
9.1,9.1,11,8,4,400,1.5,150,4.997,4997,14,73,1,1,1,0,0,chevrolet impala
8.3,8.3,12,8,4,400,1.67,167,4.906,4906,12.5,73,1,1,1,0,0,ford country
7.7,7.7,13,8,3.6,360,1.7,170,4.654,4654,13,73,1,1,1,0,0,plymouth custom suburb
8.3,8.3,12,8,3.5,350,1.8,180,4.499,4499,12.5,73,1,1,1,0,0,oldsmobile vista cruiser
5.6,5.6,18,6,2.32,232,1,100,2.789,2789,15,73,1,1,1,0,0,amc gremlin
5,5,20,4,0.97,97,0.88,88,2.279,2279,19,73,1,3,0,0,1,toyota carina
4.8,4.8,21,4,1.4,140,0.72,72,2.401,2401,19.5,73,1,1,1,0,0,chevrolet vega
4.5,4.5,22,4,1.08,108,0.94,94,2.379,2379,16.5,73,1,3,0,0,1,datsun 610
5.6,5.6,18,3,0.7,70,0.9,90,2.124,2124,13.5,73,1,3,0,0,1,maxda rx3
5.3,5.3,19,4,1.22,122,0.85,85,2.31,2310,18.5,73,1,1,1,0,0,ford pinto
4.8,4.8,21,6,1.55,155,1.07,107,2.472,2472,14,73,1,1,1,0,0,mercury capri v6
3.8,3.8,26,4,0.98,98,0.9,90,2.265,2265,15.5,73,1,2,0,1,0,fiat 124 sport coupe
6.7,6.7,15,8,3.5,350,1.45,145,4.082,4082,13,73,1,1,1,0,0,chevrolet monte carlo s
6.3,6.3,16,8,4,400,2.3,230,4.278,4278,9.5,73,1,1,1,0,0,pontiac grand prix
3.4,3.4,29,4,0.68,68,0.49,49,1.867,1867,19.5,73,1,2,0,1,0,fiat 128
4.2,4.2,24,4,1.16,116,0.75,75,2.158,2158,15.5,73,1,2,0,1,0,opel manta
5,5,20,4,1.14,114,0.91,91,2.582,2582,14,73,1,2,0,1,0,audi 100ls
5.3,5.3,19,4,1.21,121,1.12,112,2.868,2868,15.5,73,1,2,0,1,0,volvo 144ea
6.7,6.7,15,8,3.18,318,1.5,150,3.399,3399,11,73,1,1,1,0,0,dodge dart custom
4.2,4.2,24,4,1.21,121,1.1,110,2.66,2660,14,73,1,2,0,1,0,saab 99le
5,5,20,6,1.56,156,1.22,122,2.807,2807,13.5,73,1,3,0,0,1,toyota mark ii
9.1,9.1,11,8,3.5,350,1.8,180,3.664,3664,11,73,1,1,1,0,0,oldsmobile omega
5,5,20,6,1.98,198,0.95,95,3.102,3102,16.5,74,1,1,1,0,0,plymouth duster
5.3,5.3,19,6,2.32,232,1,100,2.901,2901,16,74,1,1,1,0,0,amc hornet
6.7,6.7,15,6,2.5,250,1,100,3.336,3336,17,74,1,1,1,0,0,chevrolet nova
3.2,3.2,31,4,0.79,79,0.67,67,1.95,1950,19,74,1,3,0,0,1,datsun b210
3.8,3.8,26,4,1.22,122,0.8,80,2.451,2451,16.5,74,1,1,1,0,0,ford pinto
3.1,3.1,32,4,0.71,71,0.65,65,1.836,1836,21,74,1,3,0,0,1,toyota corolla 1200
4,4,25,4,1.4,140,0.75,75,2.542,2542,17,74,1,1,1,0,0,chevrolet vega
6.3,6.3,16,6,2.5,250,1,100,3.781,3781,17,74,1,1,1,0,0,chevrolet chevelle malibu classic
6.3,6.3,16,6,2.58,258,1.1,110,3.632,3632,18,74,1,1,1,0,0,amc matador
5.6,5.6,18,6,2.25,225,1.05,105,3.613,3613,16.5,74,1,1,1,0,0,plymouth satellite sebring
6.3,6.3,16,8,3.02,302,1.4,140,4.141,4141,14,74,1,1,1,0,0,ford gran torino
7.7,7.7,13,8,3.5,350,1.5,150,4.699,4699,14.5,74,1,1,1,0,0,buick century luxus (sw)
7.1,7.1,14,8,3.18,318,1.5,150,4.457,4457,13.5,74,1,1,1,0,0,dodge coronet custom (sw)
7.1,7.1,14,8,3.02,302,1.4,140,4.638,4638,16,74,1,1,1,0,0,ford gran torino (sw)
7.1,7.1,14,8,3.04,304,1.5,150,4.257,4257,15.5,74,1,1,1,0,0,amc matador (sw)
3.4,3.4,29,4,0.98,98,0.83,83,2.219,2219,16.5,74,1,2,0,1,0,audi fox
3.8,3.8,26,4,0.79,79,0.67,67,1.963,1963,15.5,74,1,2,0,1,0,volkswagen dasher
3.8,3.8,26,4,0.97,97,0.78,78,2.3,2300,14.5,74,1,2,0,1,0,opel manta
3.2,3.2,31,4,0.76,76,0.52,52,1.649,1649,16.5,74,1,3,0,0,1,toyota corona
3.1,3.1,32,4,0.83,83,0.61,61,2.003,2003,19,74,1,3,0,0,1,datsun 710
3.6,3.6,28,4,0.9,90,0.75,75,2.125,2125,14.5,74,1,1,1,0,0,dodge colt
4.2,4.2,24,4,0.9,90,0.75,75,2.108,2108,15.5,74,1,2,0,1,0,fiat 128
3.8,3.8,26,4,1.16,116,0.75,75,2.246,2246,14,74,1,2,0,1,0,fiat 124 tc
4.2,4.2,24,4,1.2,120,0.97,97,2.489,2489,15,74,1,3,0,0,1,honda civic
3.8,3.8,26,4,1.08,108,0.93,93,2.391,2391,15.5,74,1,3,0,0,1,subaru
3.2,3.2,31,4,0.79,79,0.67,67,2,2000,16,74,1,2,0,1,0,fiat x1.9
5.3,5.3,19,6,2.25,225,0.95,95,3.264,3264,16,75,1,1,1,0,0,plymouth valiant custom
5.6,5.6,18,6,2.5,250,1.05,105,3.459,3459,16,75,1,1,1,0,0,chevrolet nova
6.7,6.7,15,6,2.5,250,0.72,72,3.432,3432,21,75,1,1,1,0,0,mercury monarch
6.7,6.7,15,6,2.5,250,0.72,72,3.158,3158,19.5,75,1,1,1,0,0,ford maverick
6.3,6.3,16,8,4,400,1.7,170,4.668,4668,11.5,75,1,1,1,0,0,pontiac catalina
6.7,6.7,15,8,3.5,350,1.45,145,4.44,4440,14,75,1,1,1,0,0,chevrolet bel air
6.3,6.3,16,8,3.18,318,1.5,150,4.498,4498,14.5,75,1,1,1,0,0,plymouth grand fury
7.1,7.1,14,8,3.51,351,1.48,148,4.657,4657,13.5,75,1,1,1,0,0,ford ltd
5.9,5.9,17,6,2.31,231,1.1,110,3.907,3907,21,75,1,1,1,0,0,buick century
6.3,6.3,16,6,2.5,250,1.05,105,3.897,3897,18.5,75,1,1,1,0,0,chevroelt chevelle malibu
6.7,6.7,15,6,2.58,258,1.1,110,3.73,3730,19,75,1,1,1,0,0,amc matador
5.6,5.6,18,6,2.25,225,0.95,95,3.785,3785,19,75,1,1,1,0,0,plymouth fury
4.8,4.8,21,6,2.31,231,1.1,110,3.039,3039,15,75,1,1,1,0,0,buick skyhawk
5,5,20,8,2.62,262,1.1,110,3.221,3221,13.5,75,1,1,1,0,0,chevrolet monza 2+2
7.7,7.7,13,8,3.02,302,1.29,129,3.169,3169,12,75,1,1,1,0,0,ford mustang ii
3.4,3.4,29,4,0.97,97,0.75,75,2.171,2171,16,75,1,3,0,0,1,toyota corolla
4.3,4.3,23,4,1.4,140,0.83,83,2.639,2639,17,75,1,1,1,0,0,ford pinto
5,5,20,6,2.32,232,1,100,2.914,2914,16,75,1,1,1,0,0,amc gremlin
4.3,4.3,23,4,1.4,140,0.78,78,2.592,2592,18.5,75,1,1,1,0,0,pontiac astro
4.2,4.2,24,4,1.34,134,0.96,96,2.702,2702,13.5,75,1,3,0,0,1,toyota corona
4,4,25,4,0.9,90,0.71,71,2.223,2223,16.5,75,1,2,0,1,0,volkswagen dasher
4.2,4.2,24,4,1.19,119,0.97,97,2.545,2545,17,75,1,3,0,0,1,datsun 710
5.6,5.6,18,6,1.71,171,0.97,97,2.984,2984,14.5,75,1,1,1,0,0,ford pinto
3.4,3.4,29,4,0.9,90,0.7,70,1.937,1937,14,75,1,2,0,1,0,volkswagen rabbit
5.3,5.3,19,6,2.32,232,0.9,90,3.211,3211,17,75,1,1,1,0,0,amc pacer
4.3,4.3,23,4,1.15,115,0.95,95,2.694,2694,15,75,1,2,0,1,0,audi 100ls
4.3,4.3,23,4,1.2,120,0.88,88,2.957,2957,17,75,1,2,0,1,0,peugeot 504
4.5,4.5,22,4,1.21,121,0.98,98,2.945,2945,14.5,75,1,2,0,1,0,volvo 244dl
4,4,25,4,1.21,121,1.15,115,2.671,2671,13.5,75,1,2,0,1,0,saab 99le
3,3,33,4,0.91,91,0.53,53,1.795,1795,17.5,75,1,3,0,0,1,honda civic cvcc
3.6,3.6,28,4,1.07,107,0.86,86,2.464,2464,15.5,76,1,2,0,1,0,fiat 131
4,4,25,4,1.16,116,0.81,81,2.22,2220,16.9,76,1,2,0,1,0,opel 1900
4,4,25,4,1.4,140,0.92,92,2.572,2572,14.9,76,1,1,1,0,0,capri ii
3.8,3.8,26,4,0.98,98,0.79,79,2.255,2255,17.7,76,1,1,1,0,0,dodge colt
3.7,3.7,27,4,1.01,101,0.83,83,2.202,2202,15.3,76,1,2,0,1,0,renault 12tl
5.7,5.7,17.5,8,3.05,305,1.4,140,4.215,4215,13,76,1,1,1,0,0,chevrolet chevelle malibu classic
6.3,6.3,16,8,3.18,318,1.5,150,4.19,4190,13,76,1,1,1,0,0,dodge coronet brougham
6.5,6.5,15.5,8,3.04,304,1.2,120,3.962,3962,13.9,76,1,1,1,0,0,amc matador
6.9,6.9,14.5,8,3.51,351,1.52,152,4.215,4215,12.8,76,1,1,1,0,0,ford gran torino
4.5,4.5,22,6,2.25,225,1,100,3.233,3233,15.4,76,1,1,1,0,0,plymouth valiant
4.5,4.5,22,6,2.5,250,1.05,105,3.353,3353,14.5,76,1,1,1,0,0,chevrolet nova
4.2,4.2,24,6,2,200,0.81,81,3.012,3012,17.6,76,1,1,1,0,0,ford maverick
4.4,4.4,22.5,6,2.32,232,0.9,90,3.085,3085,17.6,76,1,1,1,0,0,amc hornet
3.4,3.4,29,4,0.85,85,0.52,52,2.035,2035,22.2,76,1,1,1,0,0,chevrolet chevette
4.1,4.1,24.5,4,0.98,98,0.6,60,2.164,2164,22.1,76,1,1,1,0,0,chevrolet woody
3.4,3.4,29,4,0.9,90,0.7,70,1.937,1937,14.2,76,1,2,0,1,0,vw rabbit
3,3,33,4,0.91,91,0.53,53,1.795,1795,17.4,76,1,3,0,0,1,honda civic
5,5,20,6,2.25,225,1,100,3.651,3651,17.7,76,1,1,1,0,0,dodge aspen se
5.6,5.6,18,6,2.5,250,0.78,78,3.574,3574,21,76,1,1,1,0,0,ford granada ghia
5.4,5.4,18.5,6,2.5,250,1.1,110,3.645,3645,16.2,76,1,1,1,0,0,pontiac ventura sj
5.7,5.7,17.5,6,2.58,258,0.95,95,3.193,3193,17.8,76,1,1,1,0,0,amc pacer d/l
3.4,3.4,29.5,4,0.97,97,0.71,71,1.825,1825,12.2,76,1,2,0,1,0,volkswagen rabbit
3.1,3.1,32,4,0.85,85,0.7,70,1.99,1990,17,76,1,3,0,0,1,datsun b-210
3.6,3.6,28,4,0.97,97,0.75,75,2.155,2155,16.4,76,1,3,0,0,1,toyota corolla
3.8,3.8,26.5,4,1.4,140,0.72,72,2.565,2565,13.6,76,1,1,1,0,0,ford pinto
5,5,20,4,1.3,130,1.02,102,3.15,3150,15.7,76,1,2,0,1,0,volvo 245
7.7,7.7,13,8,3.18,318,1.5,150,3.94,3940,13.2,76,1,1,1,0,0,plymouth volare premier v8
5.3,5.3,19,4,1.2,120,0.88,88,3.27,3270,21.9,76,1,2,0,1,0,peugeot 504
5.3,5.3,19,6,1.56,156,1.08,108,2.93,2930,15.5,76,1,3,0,0,1,toyota mark ii
6.1,6.1,16.5,6,1.68,168,1.2,120,3.82,3820,16.7,76,1,2,0,1,0,mercedes-benz 280s
6.1,6.1,16.5,8,3.5,350,1.8,180,4.38,4380,12.1,76,1,1,1,0,0,cadillac seville
7.7,7.7,13,8,3.5,350,1.45,145,4.055,4055,12,76,1,1,1,0,0,chevy c10
7.7,7.7,13,8,3.02,302,1.3,130,3.87,3870,15,76,1,1,1,0,0,ford f108
7.7,7.7,13,8,3.18,318,1.5,150,3.755,3755,14,76,1,1,1,0,0,dodge d100
3.2,3.2,31.5,4,0.98,98,0.68,68,2.045,2045,18.5,77,1,3,0,0,1,honda accord cvcc
3.3,3.3,30,4,1.11,111,0.8,80,2.155,2155,14.8,77,1,1,1,0,0,buick opel isuzu deluxe
2.8,2.8,36,4,0.79,79,0.58,58,1.825,1825,18.6,77,1,2,0,1,0,renault 5 gtl
3.9,3.9,25.5,4,1.22,122,0.96,96,2.3,2300,15.5,77,1,1,1,0,0,plymouth arrow gs
3,3,33.5,4,0.85,85,0.7,70,1.945,1945,16.8,77,1,3,0,0,1,datsun f-10 hatchback
5.7,5.7,17.5,8,3.05,305,1.45,145,3.88,3880,12.5,77,1,1,1,0,0,chevrolet caprice classic
5.9,5.9,17,8,2.6,260,1.1,110,4.06,4060,19,77,1,1,1,0,0,oldsmobile cutlass supreme
6.5,6.5,15.5,8,3.18,318,1.45,145,4.14,4140,13.7,77,1,1,1,0,0,dodge monaco brougham
6.7,6.7,15,8,3.02,302,1.3,130,4.295,4295,14.9,77,1,1,1,0,0,mercury cougar brougham
5.7,5.7,17.5,6,2.5,250,1.1,110,3.52,3520,16.4,77,1,1,1,0,0,chevrolet concours
4.9,4.9,20.5,6,2.31,231,1.05,105,3.425,3425,16.9,77,1,1,1,0,0,buick skylark
5.3,5.3,19,6,2.25,225,1,100,3.63,3630,17.7,77,1,1,1,0,0,plymouth volare custom
5.4,5.4,18.5,6,2.5,250,0.98,98,3.525,3525,19,77,1,1,1,0,0,ford granada
6.3,6.3,16,8,4,400,1.8,180,4.22,4220,11.1,77,1,1,1,0,0,pontiac grand prix lj
6.5,6.5,15.5,8,3.5,350,1.7,170,4.165,4165,11.4,77,1,1,1,0,0,chevrolet monte carlo landau
6.5,6.5,15.5,8,4,400,1.9,190,4.325,4325,12.2,77,1,1,1,0,0,chrysler cordoba
6.3,6.3,16,8,3.51,351,1.49,149,4.335,4335,14.5,77,1,1,1,0,0,ford thunderbird
3.4,3.4,29,4,0.97,97,0.78,78,1.94,1940,14.5,77,1,2,0,1,0,volkswagen rabbit custom
4.1,4.1,24.5,4,1.51,151,0.88,88,2.74,2740,16,77,1,1,1,0,0,pontiac sunbird coupe
3.8,3.8,26,4,0.97,97,0.75,75,2.265,2265,18.2,77,1,3,0,0,1,toyota corolla liftback
3.9,3.9,25.5,4,1.4,140,0.89,89,2.755,2755,15.8,77,1,1,1,0,0,ford mustang ii 2+2
3.3,3.3,30.5,4,0.98,98,0.63,63,2.051,2051,17,77,1,1,1,0,0,chevrolet chevette
3,3,33.5,4,0.98,98,0.83,83,2.075,2075,15.9,77,1,1,1,0,0,dodge colt m/m
3.3,3.3,30,4,0.97,97,0.67,67,1.985,1985,16.4,77,1,3,0,0,1,subaru dl
3.3,3.3,30.5,4,0.97,97,0.78,78,2.19,2190,14.1,77,1,2,0,1,0,volkswagen dasher
4.5,4.5,22,6,1.46,146,0.97,97,2.815,2815,14.5,77,1,3,0,0,1,datsun 810
4.7,4.7,21.5,4,1.21,121,1.1,110,2.6,2600,12.8,77,1,2,0,1,0,bmw 320i
4.7,4.7,21.5,3,0.8,80,1.1,110,2.72,2720,13.5,77,1,3,0,0,1,mazda rx-4
2.3,2.3,43.1,4,0.9,90,0.48,48,1.985,1985,21.5,78,1,2,0,1,0,volkswagen rabbit custom diesel
2.8,2.8,36.1,4,0.98,98,0.66,66,1.8,1800,14.4,78,1,1,1,0,0,ford fiesta
3,3,32.8,4,0.78,78,0.52,52,1.985,1985,19.4,78,1,3,0,0,1,mazda glc deluxe
2.5,2.5,39.4,4,0.85,85,0.7,70,2.07,2070,18.6,78,1,3,0,0,1,datsun b210 gx
2.8,2.8,36.1,4,0.91,91,0.6,60,1.8,1800,16.4,78,1,3,0,0,1,honda civic cvcc
5,5,19.9,8,2.6,260,1.1,110,3.365,3365,15.5,78,1,1,1,0,0,oldsmobile cutlass salon brougham
5.2,5.2,19.4,8,3.18,318,1.4,140,3.735,3735,13.2,78,1,1,1,0,0,dodge diplomat
5,5,20.2,8,3.02,302,1.39,139,3.57,3570,12.8,78,1,1,1,0,0,mercury monarch ghia
5.2,5.2,19.2,6,2.31,231,1.05,105,3.535,3535,19.2,78,1,1,1,0,0,pontiac phoenix lj
4.9,4.9,20.5,6,2,200,0.95,95,3.155,3155,18.2,78,1,1,1,0,0,chevrolet malibu
